Score, Catch
170,26
215,17
100,5
5,5
60,3
65,4
180,8
50,3
90,3
85,3
75,5
5,1
150,4
250,19
50,1
50,1
140,2
895,37
935,40
315,22
465,39
335,25
125,5
30,1
545,32
100,19
0,0
0,0
45,0
60,0
0,0
85,6
20,-2
130,6
50,5
